GEO.id,GEO.id2,GEO.display-label,HD01_VD01
Id,Id2,Geography,Estimate; Aggregate travel time to work (in minutes):
310M300US43340,43340,"Shreveport-Bossier City, LA Metro Area",4025700
310M300US43420,43420,"Sierra Vista-Douglas, AZ Metro Area",907325
310M300US43580,43580,"Sioux City, IA-NE-SD Metro Area",1438465
310M300US43620,43620,"Sioux Falls, SD Metro Area",2448415
310M300US43780,43780,"South Bend-Mishawaka, IN-MI Metro Area",3031645
310M300US43900,43900,"Spartanburg, SC Metro Area",3235530
310M300US44060,44060,"Spokane-Spokane Valley, WA Metro Area",5016630
310M300US44100,44100,"Springfield, IL Metro Area",1924235
310M300US44140,44140,"Springfield, MA Metro Area",6368435
310M300US44180,44180,"Springfield, MO Metro Area",4362075
310M300US44220,44220,"Springfield, OH Metro Area",1262015
310M300US44300,44300,"State College, PA Metro Area",1454775
310M300US44420,44420,"Staunton-Waynesboro, VA Metro Area",1207645
310M300US44700,44700,"Stockton-Lodi, CA Metro Area",8807330
310M300US44940,44940,"Sumter, SC Metro Area",969825
310M300US45060,45060,"Syracuse, NY Metro Area",6199095
310M300US45220,45220,"Tallahassee, FL Metro Area",3856170
310M300US45300,45300,"Tampa-St. Petersburg-Clearwater, FL Metro Area",33885330
310M300US45460,45460,"Terre Haute, IN Metro Area",1539570
310M300US45500,45500,"Texarkana, TX-AR Metro Area",1065860
310M300US45540,45540,"The Villages, FL Metro Area",519400
310M300US45780,45780,"Toledo, OH Metro Area",5620280
310M300US45820,45820,"Topeka, KS Metro Area",2153985
310M300US45940,45940,"Trenton, NJ Metro Area",4760810
310M300US46060,46060,"Tucson, AZ Metro Area",10015230
310M300US46140,46140,"Tulsa, OK Metro Area",9323760
310M300US46220,46220,"Tuscaloosa, AL Metro Area",2287315
310M300US46340,46340,"Tyler, TX Metro Area",2220060
310M300US46520,46520,"Urban Honolulu, HI Metro Area",13861265
310M300US46540,46540,"Utica-Rome, NY Metro Area",2503580
310M300US46660,46660,"Valdosta, GA Metro Area",1168020
310M300US46700,46700,"Vallejo-Fairfield, CA Metro Area",5919985
310M300US47020,47020,"Victoria, TX Metro Area",895060
310M300US47220,47220,"Vineland-Bridgeton, NJ Metro Area",1427575
310M300US47260,47260,"Virginia Beach-Norfolk-Newport News, VA-NC Metro Area",19920400
310M300US47300,47300,"Visalia-Porterville, CA Metro Area",3688005
310M300US47380,47380,"Waco, TX Metro Area",2223440
310M300US47460,47460,"Walla Walla, WA Metro Area",419840
310M300US47580,47580,"Warner Robins, GA Metro Area",1717655
310M300US47900,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area",105261380
310M300US47940,47940,"Waterloo-Cedar Falls, IA Metro Area",1397775
310M300US48060,48060,"Watertown-Fort Drum, NY Metro Area",889415
310M300US48140,48140,"Wausau, WI Metro Area",1300330
310M300US48260,48260,"Weirton-Steubenville, WV-OH Metro Area",1219705
310M300US48300,48300,"Wenatchee, WA Metro Area",893375
310M300US48540,48540,"Wheeling, WV-OH Metro Area",1333325
310M300US48620,48620,"Wichita, KS Metro Area",5744770
310M300US48660,48660,"Wichita Falls, TX Metro Area",1076640
310M300US48700,48700,"Williamsport, PA Metro Area",1037595
310M300US48900,48900,"Wilmington, NC Metro Area",2677055
310M300US49020,49020,"Winchester, VA-WV Metro Area",1877995
310M300US49180,49180,"Winston-Salem, NC Metro Area",6500090
310M300US49340,49340,"Worcester, MA-CT Metro Area",12465675
310M300US49420,49420,"Yakima, WA Metro Area",1848765
310M300US49620,49620,"York-Hanover, PA Metro Area",5698275
310M300US49660,49660,"Youngstown-Warren-Boardman, OH-PA Metro Area",5037675
310M300US49700,49700,"Yuba City, CA Metro Area",1774415
310M300US49740,49740,"Yuma, AZ Metro Area",1452400
